Chromosome	grch37	grch38	rsid	gene
1	179520506	179551371	rs1410592	NPHS2
1	67861520	67395837	rs2229546	IL12RB2
2	169789016	168932506	rs497692	ABCB11
2	227896976	227032260	rs10203363	COL4A4
3	4403767	4362083	rs2819561	SUMF1
4	5749904	5748177	rs4688963	EVC
5	82834630	83538811	rs309557	VCAN
6	146755140	146434004	rs2942	GRM1
7	48450157	48410560	rs17548783	ABCA13
8	94935937	93923709	rs4735258	PDP1
9	100190780	97428498	rs1381532	TDRD7
10	100219314	98459557	rs10883099	HPSE2
11	16133413	16111867	rs4617548	SOX6
12	993930	884764	rs7300444	WNK1
13	39433606	38859469	rs9532292	FREM2
14	50769717	50302999	rs2297995	L2HGDH
15	34528948	34236747	rs4577050	SLC12A6
16	70303580	70269677	rs2070203	AARS
17	71197748	73201609	rs1037256	COG1
18	21413869	23833905	rs9962023	LAMA3
19	10267077	10156401	rs2228611	DNMT1
20	6100088	6119441	rs10373	FERMT1
21	44323590	42903480	rs4148973	NDUFV3
22	21141300	20787012	rs4675	SERPIND1
